store_id,total_coke_units,distinct_coke_skus,total_rewards_units,distinct_rewards_skus,total_non_rewards_units,cohort
0fc78472-0429-4c13-a8a1-147843c1d04b,173,3,0,0,173,coca-cola-only
0fe9ce71-913c-4f6a-891e-d23da65c581f,283,71,57,13,226,rewards-eligible
0ff7be88-6b38-447b-a212-d561fab9b331,94,11,5,1,89,rewards-eligible
0ffae731-0fa2-4f2e-ae79-4872a0913f76,207,69,29,10,178,rewards-eligible
1001f44e-044f-41d6-b8cd-9b3c220fa66c,15,7,0,0,15,coca-cola-only
1021b727-09f6-489f-b47c-6dde2a3fbb07,22,19,5,5,17,rewards-eligible
102b6906-b76e-49b1-adae-f106356046fc,37,19,10,7,27,rewards-eligible
10601fda-69da-44e9-acf9-33049c8ccacb,13,6,0,0,13,coca-cola-only
1078b625-fa9e-4195-adf0-0e4125a8bf5b,312,16,0,0,312,coca-cola-only
1086a5ea-1d5e-4da2-8162-6b712e05c08f,304,61,62,12,242,rewards-eligible
1093888f-3e4b-4ec3-a86e-d492d36eaf75,454,57,90,14,364,rewards-eligible
109da05c-d10f-487a-92c5-af83f21c2fcc,29,18,10,6,19,rewards-eligible
10c8f00f-8770-455f-99e3-dd42a5cdf2bc,1,1,1,1,0,rewards-eligible
10ce2f77-bdfd-4b37-9ea3-d93851195406,87,48,26,11,61,rewards-eligible
10ebe74f-042f-4a45-82dd-a7cfde74c29c,46,33,15,8,31,rewards-eligible
1105fbb2-ab2f-4403-b29d-aa9a05033bb4,40,10,6,2,34,rewards-eligible
1117f280-02c0-4d5f-815b-6893a527a969,54,26,12,6,42,rewards-eligible
111ba1ad-ba94-4984-9db2-6ee73422c4fb,42,25,4,3,38,rewards-eligible
11515eff-8bef-4942-ae6e-96ed58ed9402,32,18,6,4,26,rewards-eligible
1186c58f-0214-431b-b61b-efb9ae2dd1bc,3,3,0,0,3,coca-cola-only
1187197b-9669-4eb5-b12a-6cf828d789a4,233,46,41,11,192,rewards-eligible
119ea46b-3433-46f4-ad18-547e81995c94,388,84,65,16,323,rewards-eligible
11ab0279-6228-4c78-97bc-e79435244095,357,47,53,11,304,rewards-eligible
11b2e151-4b7e-4eae-baae-b101fe074efa,66,39,6,6,60,rewards-eligible
11badb2a-8116-4893-a2a5-f8837bca994d,75,31,16,8,59,rewards-eligible
11cc3142-b862-423e-aebd-293811d2e424,73,16,1,1,72,rewards-eligible
11d1460f-bd22-4828-8ab9-54a006bc567e,9,5,1,1,8,rewards-eligible
11d4af5f-6201-4faf-9a73-2e27f8ba52f5,11,5,0,0,11,coca-cola-only
123d5280-3ed3-40e0-a5cd-d4b5a93d880e,35,20,0,0,35,coca-cola-only
1247dee4-ba07-48d2-b6f8-d35b5b3b9b6b,102,26,21,6,81,rewards-eligible
1254aa52-27cd-4414-a24a-cdb635580396,310,81,63,10,247,rewards-eligible
125ae385-fc3a-4805-a79c-f4153241a809,191,41,39,9,152,rewards-eligible
1266a588-7a2e-4ab5-9f79-92134c433236,1,1,0,0,1,coca-cola-only
126f27f3-143a-48ca-8ef4-18c43520dce6,16,11,6,3,10,rewards-eligible
1277caba-1d25-40cf-9a2f-41bd23364e6c,24,13,2,2,22,rewards-eligible
128be0ae-5372-4655-a023-0018beb1deb3,74,26,14,6,60,rewards-eligible
128d9b75-1182-4f55-b10f-46da7ece94c3,194,63,35,15,159,rewards-eligible
12b76628-ef33-4f64-88cc-1b937745cbe9,133,31,26,5,107,rewards-eligible
12c46e4f-abee-4468-883e-8eb3141da0a9,133,24,31,9,102,rewards-eligible
12eb8cea-d44d-4bae-a97c-c36d925982e5,47,26,9,6,38,rewards-eligible
12f5ddb2-15e0-41a0-8578-a49b2736e99c,367,40,39,8,328,rewards-eligible
1313a34f-533a-42f7-a0c4-cd5a7642de3b,15,14,3,3,12,rewards-eligible
1313d87e-b846-464f-a3ef-1e035153820f,146,58,20,9,126,rewards-eligible
1313e4d4-a799-420e-81ac-1bf592b5faf4,246,65,53,13,193,rewards-eligible
131be58a-9ea2-4898-8409-26ae5e2e376c,7,4,3,3,4,rewards-eligible
131fdefc-641e-4173-ac5a-d2954fea1421,204,46,56,10,148,rewards-eligible
1345dd4f-407e-42eb-98eb-8790e4e7210c,432,94,36,18,396,rewards-eligible
134fb332-36fc-4fdb-bcd9-80fda56396a4,121,6,30,2,91,rewards-eligible
136dbcd4-c83d-454e-872c-8cd1556ece66,194,57,41,10,153,rewards-eligible
13753c29-2498-49a7-af0b-ed2eaf787460,39,30,11,6,28,rewards-eligible
138bd9c6-04c0-438a-a40b-840f38436ac1,40,2,0,0,40,coca-cola-only
139b6752-f86d-4ec8-8167-21c633ed5c7d,165,77,24,12,141,rewards-eligible
13a63dce-cc17-4419-99a3-a0885a3a88f8,1221,80,90,14,1131,rewards-eligible
13bed7d0-cdf0-4e4a-9907-485773e5a867,104,45,22,11,82,rewards-eligible
13c2ba9f-8d03-4dbb-87a3-bc7db15bcf96,12,10,2,2,10,rewards-eligible
13c8dbf0-770c-4933-8e22-90bd955a208e,47,23,8,6,39,rewards-eligible
13cf77c6-783e-4773-bc91-58d91efbd073,89,27,12,4,77,rewards-eligible
13d2f599-1e75-40af-9265-6ae3a0b54258,131,25,12,2,119,rewards-eligible
13dab229-8ec0-4489-8c00-198a9c2bfeeb,138,58,13,9,125,rewards-eligible
14038594-be86-4ed6-9c90-d8c236890ee9,228,62,59,12,169,rewards-eligible
1424954f-b625-42e9-9b23-a86546e27384,15,8,3,1,12,rewards-eligible
14350277-947d-497d-a063-24e763f5a5cf,30,18,13,7,17,rewards-eligible
144605a5-6877-426c-acff-a75a66ae2730,224,57,39,8,185,rewards-eligible
144dcce0-3645-4e50-91a4-7d985e0890e2,442,48,111,6,331,rewards-eligible
1456bda9-7d10-424f-b3a0-a044770c175a,16,5,0,0,16,coca-cola-only
1458adb3-35c2-4d23-a499-131dca036828,95,35,14,5,81,rewards-eligible
1489692f-a1d9-4e35-8505-8114b4604328,389,62,39,12,350,rewards-eligible
148e3615-06d1-49e4-918a-00ed35332389,6,6,2,2,4,rewards-eligible
14a59681-b2c9-4dcf-b14e-f356536da5f7,24,23,7,7,17,rewards-eligible
14ac7f12-63c3-419c-a4cf-b0038a2da678,64,47,15,12,49,rewards-eligible
14af42f0-c6fe-4df4-9b55-7946166de36e,33,16,10,3,23,rewards-eligible
